Total Unsigned Flux (Mx),GWILL (Mm),Average Gradient across PIL (G),Effective Separation (pixels),PIL Length (Mm),Label
3.84e+22,339.987,13.6202,51.6351,24.962,0
3.81e+22,165.87599999999995,8.43333,53.2933,19.6691,0
3.8e+22,134.224,9.01547,52.8772,14.8882,0
3.83e+22,197.131,10.5947,51.379,18.6066,0
3.85e+22,589.044,10.1734,49.7176,57.9004,0
3.82e+22,231.838,17.0764,50.4003,13.5765,0
3.8e+22,288.881,14.3747,48.0058,20.0965,0
3.81e+22,250.081,16.2351,50.4295,15.4037,0
3.83e+22,380.19,23.8506,49.9167,15.9405,0
3.81e+22,380.973,25.8339,50.2998,14.747,0
3.82e+22,401.561,27.3655,49.6478,14.674,0
3.81e+22,421.281,24.8561,51.6834,16.9488,0
3.81e+22,471.42800000000005,21.9074,52.6838,21.5191,0
3.79e+22,526.0840000000002,17.0067,52.261,30.9339,0
3.78e+22,487.693,24.9124,53.4033,19.5763,0
3.77e+22,405.273,21.0587,52.7755,19.2449,0
3.7e+22,379.087,17.6113,53.582,21.5252,0
3.73e+22,436.702,15.7174,54.3093,27.7846,0
3.72e+22,498.352,17.8075,53.1148,27.9855,0
3.71e+22,672.298,17.0553,54.9797,39.4187,0
3.72e+22,627.375,16.9608,51.2564,36.9897,0
3.72e+22,509.275,14.6926,53.7897,34.662,0
3.7e+22,594.993,13.3517,54.2718,44.5631,0
3.69e+22,381.46,10.6876,54.5258,35.6918,0
3.7e+22,343.006,9.87305,56.125,34.7416,0
3.7e+22,436.608,8.43604,54.8002,51.7551,0
3.68e+22,423.463,9.3756,55.2768,45.1665,0
3.66e+22,645.778,11.0586,55.9351,58.396,0
3.68e+22,229.778,6.52933,54.0917,35.1916,0
3.6e+22,255.306,6.81942,57.279,37.4381,0
3.64e+22,547.998,12.0102,55.8212,45.6277,0
3.67e+22,374.285,8.07433,57.1308,46.3549,0
3.66e+22,483.576,9.12708,56.9155,52.9826,0
3.63e+22,247.82,9.97835,56.9243,24.8358,0
3.61e+22,176.488,15.5149,56.1931,11.3754,0
3.64e+22,156.248,12.6108,57.2385,12.39,0
3.64e+22,495.134,19.0659,58.4331,25.9696,0
3.61e+22,444.702,17.8735,58.7685,24.8805,0
3.61e+22,481.232,14.5412,58.3057,33.0944,0
3.61e+22,662.4910000000001,24.4157,60.1048,27.1338,0
3.56e+22,128.70600000000002,8.77511,62.6034,14.6672,0
3.54e+22,666.0319999999998,20.8035,62.5153,32.0154,0
3.52e+22,1695.42,16.414,62.4255,103.291,0
7.87e+22,3651.43,21.9632,19.9425,166.252,0
7.91e+22,3827.73,25.6535,19.4477,149.209,0
7.98e+22,5556.42,25.4167,18.8512,218.613,0
7.95e+22,4620.0,24.0979,20.2003,191.718,0
7.96e+22,5340.68,23.5825,20.8977,226.468,0
7.94e+22,4975.1,23.0978,19.8701,215.393,0
7.94e+22,5854.19,26.8526,20.556,218.012,0
7.95e+22,6311.88,27.2119,19.8736,231.953,0
8e+22,6198.7,34.1141,20.239,181.705,1
8.05e+22,8297.3,36.9722,20.1262,224.42,1
