Total Unsigned Flux (Mx),GWILL (Mm),Average Gradient across PIL (G),Effective Separation (pixels),PIL Length (Mm),Label
1.51e+22,1934.18,45.674,81.2221,42.3474,0
1.53e+22,834.299,27.0489,82.2763,30.8441,0
1.52e+22,648.784,20.7069,85.4477,31.3318,0
1.57e+22,1180.53,34.6915,81.601,34.0295,0
1.6e+22,1845.33,38.0696,73.8268,48.4725,0
1.68e+22,2458.09,46.9085,76.8405,52.4019,0
1.75e+22,2379.84,41.0567,72.133,57.9646,0
1.74e+22,2015.12,29.5571,63.9324,68.1771,0
1.79e+22,1852.21,34.5886,65.4792,53.5498,0
1.88e+22,3228.29,33.8731,60.7421,95.3054,0
2.14e+22,5167.99,37.9408,55.8771,136.21200000000002,0
2.3e+22,4512.59,51.2706,50.424,88.0151,0
2.45e+22,6005.29,31.033,50.7424,193.513,0
2.9e+22,6328.6,39.150999999999996,46.1129,161.64600000000004,0
